MisconceptionId,MisconceptionName
0,Does not know that angles in a triangle sum to 180 degrees
1,Uses dividing fractions method for multiplying fractions
2,Believes there are 100 degrees in a full turn
3,"Thinks a quadratic without a non variable term, can not be factorised"
4,Believes addition of terms and powers of terms are equivalent e.g. a + c = a^c
5,"When measuring a reflex angle, gives the acute or obtuse angle that sums to 360 instead"
6,Can identify the multiplier used to form an equivalent fraction but does not apply to the numerator
7,Believes gradient = change in y
8,Student thinks that any two angles along a straight line are equal
9,Thinks there are 180 degrees in a full turn
10,"Believes duration can be read from a timetable, rather than calculating from start and end times"
11,"When reading value from graph, reads from the wrong axes."
12,Thinks that the side view does not include the furthest rows back
13,"Does not subtract from the hours, when having to borrow for a time calculation"
14,Does not understand how to create a multiple of an equation
15,"Confuses the order of operations, believes addition comes before division"
16,Believes that graphs of inverse proportion meet the axes
17,Confuses AM and PM when calculating time
18,"Given the length of the sides, still does not recognise there is enough information to find the area"
19,"When multiplying a surd by an integer, adds the integer to the number under the surd"
20,Believes the number of wholes in a mixed number multiplies by the fraction part
21,Estimates shares of a ratio instead of calculating
22,Confuses the ten thousands and thousands place value columns
23,Does not understand the command word 'difference'
24,Does not understand the term multiple
25,Does not realise that when you multiply by 0 the answer will always be 0
26,Thinks x = ? or y = ? is y = x
27,Believes squaring a fraction requires you to double both parts
28,Thinks the interior angles of any polygon add up to 360
29,Forgot to simplify the fraction
30,"When asked for a number n times smaller or bigger, subtracts or adds n"
31,Does not understand bar modelling in algebra
32,"When squaring a variable, believes they also need to square the coefficient"
33,Uses more than 3 letters to describe an angle
34,Believes dividing a negative by a positive gives a positive answer
35,Believes you add 2 instead of subtracting 2 to the numbers of sides when finding total interior angles
36,Enlarges by the wrong centre of enlargement
37,Rounded to wrong degree of accuracy (2sf not 1sf)
38,Believes the sides of an inequality can be switched without changing the direction of the sign
39,Multiplies by 1000 instead of 100 when converting a decimal to a percentage
40,Believes midpoint multiplied by frequency is equivalent to frequency density
63,Believes 'data' and 'sample' are interchangeable
64,Mixes up squaring and multiplying by 4
65,Cannot spot a variable within a written scenario
66,Repeats the digits three times when cubing a number
67,Divides by 1000 instead of 100 when converting a decimal to a percentage
68,Confuses a term with an equation
69,"When given a non-unit fraction of an amount, treats it like a unit fraction"
70,"When reading a composite bar chart, just reads total height of bar"
71,Multiplies all given dimensions when calculating an area
72,Thinks a decimal can be written as a fraction by just writing it under a numerator of 1
73,Confuses a function with an expression
74,Believes they must expand brackets before solving an equation
75,Believes that the directions of positive and negative vectors are the opposite way around.
76,Confuses quadratic and exponential graphs
77,"Does not follow the arrows through a function machine, changes the order of the operations asked."
78,"When multiplying a fraction by an integer, multiplies the denominator instead of the numerator"
79,Does not understand how to divide algebraic terms
80,Thinks you can ignore the variable when simplifying algebraic fractions
81,Thinks you subtract rather than add when finding the previous term in a descending linear sequence
82,Believes the square of a negative will also be negative
136,Does not recognise a reciprocal equation
137,Does not know the meaning of the word identity 
138,"When solving a problem using written division (bus-stop method), does the calculation from right to left"
139,Thinks triple means add three
696,"In the middle of the total column or row of a two way table, adds the other totals (including overall total), rather than finding the difference"
697,Arithmetic error when multiplying by 7
698,Believes each number on a clock face represents 1 minute
699,"When “borrowing” during a subtraction problem, does not subtract one from the preceding digit"
700,"When calculating missing side length from perimeter, gives the total missing length instead of dividing for one side."
701,Does not know the meaning of vertically opposite
702,When changing a number to standard form omits zero's of significance 
703,"When adding or subtracting surds, just finds the largest square that goes into each number under the surd and adds or subtracts those rather than using the largest square to simplify the surd"
704,Thinks there are 10cm in a metre
705,"When describing the relationship shown on a scatter graphs, gets the effect on the dependent variable backwards"
706,Carries out operations from right to left regardless of priority order
707,Believes that fractions with the same denominator are equal
708,Believes switching the x and y variables in a linear equation gives a perpendicular line
709,Adds instead of subtracts when using an area model for multiplication
710,Confuses factors and multiples
711,Believes you write the carried value in the number rather than adding it to the next place value column
712,Believes you can not take away a larger number from a smaller one
713,"When asked for a specific term in a sequence gives a different term, which is not the next"
714,Uses the other part instead of total frequency as denominator for relative frequency
715,Removes the common denominator when making equivalent algebraic fractions
1088,Believes you add the denominators when finding a fraction of another fraction
1089,Cannot identify mutually exclusive events
1090,Doesn't recognise commutativity of addition with negative numbers
1091,Confuses a variable with a formula
1092,Cannot spot a coefficient within a written scenario
1093,Has multiplied the value of the first term by the the term being asked
1094,Believes when frequencies multiply by a scale factor in a table the mean also multiplies by that scale factor
1095,Believes that vectors of different magnitudes can be equal.
1096,Thinks there are 10cl in a millilitre
1097,Is not able to identify a situation where Pythagoras' Theorem is needed
1098,Finds the mean instead of the range
1099,Believes gradient at a point = y coordinate/x coordinate
1100,Believes direct proportion means a 1:1 ratio
1101,Believes stratified samples should be evenly split
1102,Believes that addition should be used when finding the difference between two values on a time series graph
1103,"When reading integers on a number line, assumes each dash is 2"
1104,Simplifies integers when simplifying a mixed number
1105,Rounds every number to the same degree instead of rounding to significant figures when estimating 
1106,Divides 360 degrees by sum of sides rather than given amount of angles
